210282472	2456810.28292	20.886	0.062	
210282472	2456810.32379	20.995	0.058	
210282472	2456810.34422	21.004	0.054	
210282472	2456810.36465	21.150	0.059	
210282472	2456810.40552	21.222	0.061	
210282472	2456810.42595	21.032	0.054	
210282472	2456810.44638	21.110	0.053	
210282472	2456810.46681	21.019	0.060	
210282472	2456810.48725	21.044	0.057	
210282472	2456810.50768	20.911	0.057	
210282472	2456810.52811	20.952	0.053	
210282472	2456810.54854	20.757	0.032	
210282472	2456810.56898	20.725	0.043	
210282472	2456810.58941	20.679	0.040	
210282472	2456810.60984	20.738	0.048	
210282472	2456810.63027	20.771	0.040	
210282472	2456810.65070	20.797	0.047	
210282472	2456810.67114	20.644	0.046	
210282472	2456810.69157	20.853	0.052	
210282472	2456810.71200	20.899	0.053	
210282472	2456810.73243	20.951	0.064	
210282472	2456810.75287	20.803	0.044	
210282472	2456810.77330	20.994	0.059	
210282472	2456810.79373	21.044	0.063	
210282472	2456810.81416	20.945	0.052	
210282472	2456810.83460	21.010	0.059	
210282472	2456810.85503	21.045	0.060	
210282472	2456810.87546	20.955	0.049	
210282472	2456810.89589	21.014	0.048	
210282472	2456810.91632	20.958	0.041	
210282472	2456810.93676	21.035	0.061	
210282472	2456810.95719	21.095	0.051	
210282472	2456810.97762	21.163	0.067	
210282472	2456810.99805	21.174	0.059	
210282472	2456811.01849	21.030	0.052	
210282472	2456811.03892	20.979	0.051	
210282472	2456811.05935	21.147	0.065	
210282472	2456811.07978	21.075	0.058	
210282472	2456811.10021	20.933	0.056	
210282472	2456811.12065	21.015	0.056	
210282472	2456811.14108	21.251	0.065	
210282472	2456811.16151	21.074	0.046	
210282472	2456811.18194	21.095	0.069	
210282472	2456811.20238	21.039	0.059	
210282472	2456811.22281	20.758	0.049	
210282472	2456811.24324	20.641	0.031	
210282472	2456811.26367	20.771	0.050	
210282472	2456811.30454	20.861	0.047	
210282472	2456811.32497	20.794	0.050	
210282472	2456811.34540	20.677	0.041	
210282472	2456811.36583	20.715	0.047	
210282472	2456811.38627	20.789	0.042	
210282472	2456811.40670	20.904	0.060	
210282472	2456811.42713	20.899	0.052	
210282472	2456811.44756	20.871	0.052	
210282472	2456811.48843	21.027	0.065	
210282472	2456811.50886	20.991	0.064	
210282472	2456811.52929	20.879	0.056	
